company_id,funding_round
5a5c533c942d09e481c158a9,seed
5a5c533c942d09e481c158aa,angel
5a5c533c942d09e481c158aa,a
5a5c533c942d09e481c158ac,a
5a5c533c942d09e481c158ac,b
5a5c533c942d09e481c158ac,c
5a5c533c942d09e481c158ac,d
5a5c533c942d09e481c158ae,a
5a5c533c942d09e481c158ae,b
5a5c533c942d09e481c158ae,a
5a5c533c942d09e481c158ae,c
5a5c533c942d09e481c158af,a
5a5c533c942d09e481c158af,b
5a5c533c942d09e481c158af,c
5a5c533c942d09e481c158af,unattributed
5a5c533c942d09e481c158af,b
5a5c533c942d09e481c158af,d
5a5c533c942d09e481c158b0,a
5a5c533c942d09e481c158b0,b
5a5c533c942d09e481c158b0,seed
5a5c533c942d09e481c158b0,c
5a5c533c942d09e481c158b0,c
5a5c533c942d09e481c158b0,d
5a5c533c942d09e481c158b0,unattributed
5a5c533c942d09e481c158b0,private_equity
5a5c533c942d09e481c158b0,unattributed
5a5c533c942d09e481c158b1,seed
5a5c533c942d09e481c158b2,unattributed
5a5c533c942d09e481c158b2,grant
5a5c533c942d09e481c158b2,a
5a5c533c942d09e481c158b2,unattributed
5a5c533c942d09e481c158b3,angel
5a5c533c942d09e481c158b4,a
5a5c533c942d09e481c158b4,b
5a5c533c942d09e481c158b5,c
5a5c533c942d09e481c158b5,unattributed
5a5c533c942d09e481c158b5,a
5a5c533c942d09e481c158b5,debt_round
5a5c533c942d09e481c158b5,a
5a5c533c942d09e481c158b5,b
5a5c533c942d09e481c158b5,e
5a5c533c942d09e481c158b6,a
5a5c533c942d09e481c158b7,angel
5a5c533c942d09e481c158b8,b
5a5c533c942d09e481c158b8,a
5a5c533c942d09e481c158b8,unattributed
5a5c533c942d09e481c158ba,c
5a5c533c942d09e481c158ba,f
5a5c533c942d09e481c158ba,b
5a5c533c942d09e481c158ba,a
5a5c533c942d09e481c158bb,a
5a5c533c942d09e481c158bb,b
5a5c533c942d09e481c158bb,c
5a5c533c942d09e481c158bb,debt_round
5a5c533c942d09e481c158bb,d
5a5c533c942d09e481c158bb,e
5a5c533c942d09e481c158bc,a
